City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
458,Ust-Maya,60.4167,134.5333,-40.45,99,91,0.6,RU,2021-12-13 00:39:17
459,Saldanha,-33.0117,17.9442,60.85,93,4,13.85,ZA,2021-12-13 00:39:17
460,Dullewala,31.8359,71.4362,52.84,26,0,6.15,PK,2021-12-13 00:39:17
461,Lerum,57.7745,12.2697,36.82,97,90,3.44,SE,2021-12-13 00:39:18
462,Amatitan,20.8333,-103.7167,78.31,34,6,1.61,MX,2021-12-13 00:39:18
463,Miramar,25.9873,-80.2323,78.98,80,1,5.75,US,2021-12-13 00:34:18
464,Meulaboh,4.1363,96.1285,77.23,88,100,2.17,ID,2021-12-13 00:39:18
465,Garissa,-0.4536,39.6401,77.97,75,95,7.83,KE,2021-12-13 00:39:19
466,Menongue,-14.6585,17.691,63.77,94,99,1.01,AO,2021-12-13 00:37:17
467,Arbagar,51.9438,116.2805,0.99,96,100,2.21,RU,2021-12-13 00:39:19
468,Acari,-15.4311,-74.6158,69.21,90,73,3.67,PE,2021-12-13 00:39:19
469,Grand-Lahou,5.1367,-5.0242,79.5,86,6,6.6,CI,2021-12-13 00:39:19
470,Rocha,-34.4833,-54.3333,64.44,90,7,4.83,UY,2021-12-13 00:34:26
471,Ingham,42.6,-84.3833,42.15,61,1,9.22,US,2021-12-13 00:35:59
472,Kudahuvadhoo,2.6708,72.8944,79.54,80,92,3.74,MV,2021-12-13 00:39:20
473,Belaya Gora,68.5333,146.4167,-41.64,99,100,1.54,RU,2021-12-13 00:39:20
474,Angoche,-16.2325,39.9086,75.06,87,0,5.93,MZ,2021-12-13 00:39:20
475,Kashi,39.4547,75.9797,20.41,63,56,8.95,CN,2021-12-13 00:39:21
476,Saint Pete Beach,27.7253,-82.7412,75.67,84,1,1.99,US,2021-12-13 00:39:21
477,Kharp,66.8014,65.8081,-1.82,98,16,5.19,RU,2021-12-13 00:39:21
478,Katsuura,35.1333,140.3,53.71,49,76,14.18,JP,2021-12-13 00:39:22
479,Yulara,-25.2406,130.9889,82.24,51,13,12.66,AU,2021-12-13 00:39:22
480,Petropavl,54.8753,69.1628,8.85,89,82,8.43,KZ,2021-12-13 00:39:22
481,Mao,39.8885,4.2658,46.96,93,20,3.44,ES,2021-12-13 00:37:40
482,Den Helder,52.9599,4.7593,51.78,99,90,15.01,NL,2021-12-13 00:34:53
483,Ostrovnoy,68.0531,39.5131,29.59,93,100,14.54,RU,2021-12-13 00:35:58
484,Ladario,-19.0047,-57.6017,75.76,90,99,3.04,BR,2021-12-13 00:39:22
485,Nehe,48.4833,124.8333,5.88,91,100,10.13,CN,2021-12-13 00:39:23
486,Zeya,53.75,127.2667,-1.8,69,100,1.03,RU,2021-12-13 00:39:23
487,Northam,51.0333,-4.2167,54.01,96,100,19.53,GB,2021-12-13 00:39:23
488,Aitape,-3.1374,142.3475,82.22,81,100,1.74,PG,2021-12-13 00:39:24
489,Alta Floresta,-9.8756,-56.0861,73.06,94,100,0.45,BR,2021-12-13 00:39:24
490,Laela,-8.5667,32.05,61.03,88,39,3.87,TZ,2021-12-13 00:39:24
491,Kiama,-34.6833,150.8667,73.99,66,1,1.01,AU,2021-12-13 00:39:24
492,Codajas,-3.8367,-62.0569,74.23,99,100,1.63,BR,2021-12-13 00:39:25
493,Shingu,33.7333,135.9833,52.79,49,4,6.82,JP,2021-12-13 00:39:25
494,Bom Jesus,-9.0744,-44.3586,75.0,81,98,1.7,BR,2021-12-13 00:39:25
495,Coruripe,-10.1256,-36.1756,78.91,79,39,14.25,BR,2021-12-13 00:36:03
496,Dingle,10.9995,122.6711,81.88,81,28,11.7,PH,2021-12-13 00:36:05
497,Klaksvik,62.2266,-6.589,40.12,96,100,13.47,FO,2021-12-13 00:37:17
498,Ghanzi,-21.5667,21.7833,69.51,71,100,7.92,BW,2021-12-13 00:39:25
499,Londonderry,54.9981,-7.3093,45.0,72,100,15.52,GB,2021-12-13 00:39:26
500,Verkhoyansk,67.5447,133.385,-43.74,100,96,2.57,RU,2021-12-13 00:39:26
501,Revuca,48.6835,20.1173,31.55,87,70,1.99,SK,2021-12-13 00:39:26
502,Payo,-3.7508,103.6372,76.89,92,61,2.68,ID,2021-12-13 00:39:26
503,Vega De Alatorre,20.0333,-96.6333,67.59,70,3,9.15,MX,2021-12-13 00:39:27
504,Mont-De-Marsan,44.0,-0.6667,44.78,84,90,8.05,FR,2021-12-13 00:40:27
505,Prince Rupert,54.3161,-130.3201,33.49,86,90,13.8,CA,2021-12-13 00:40:27
506,Sorland,67.667,12.6934,36.99,98,100,19.37,NO,2021-12-13 00:35:51
507,Zhigansk,66.7697,123.3711,-34.56,99,94,10.22,RU,2021-12-13 00:40:28
508,Faya,18.3851,42.4509,45.12,45,0,3.15,SA,2021-12-13 00:40:28
509,Aklavik,68.2191,-135.0107,-3.17,91,100,21.21,CA,2021-12-13 00:40:28
510,Hamilton,39.1834,-84.5333,42.1,61,1,5.75,US,2021-12-13 00:38:49
511,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,74,0,2.24,RU,2021-12-13 00:40:02
512,Ayan,56.45,138.1667,10.6,63,100,7.96,RU,2021-12-13 00:40:29
513,Altay,47.8667,88.1167,10.71,69,86,4.76,CN,2021-12-13 00:36:09
